,hierarchy_1,hierarchy_2,hierarchy_3,score,cell_type,hierarchy_4,hierarchy_5
77,0.002453,1.0,1.0,precision,NK T cell,1.0,1.0
78,0.39661,0.541667,0.567961,f1,NK T cell,0.626039,0.627451
79,0.481481,0.481481,0.481481,recall,NK T cell,0.465021,0.460905
80,0.337176,0.619048,0.692308,precision,NK T cell,0.957627,0.982456
81,0.054555,0.546512,0.704545,f1,NK T cell,0.69962,0.69962
82,0.619883,0.549708,0.54386,recall,NK T cell,0.538012,0.538012
83,0.028533,0.543353,1.0,precision,NK T cell,1.0,1.0
84,0.338028,0.560976,0.54321,f1,NK T cell,0.555556,0.514286
85,0.461538,0.442308,0.423077,recall,NK T cell,0.384615,0.346154
86,0.266667,0.766667,0.758621,precision,NK T cell,1.0,1.0
87,0.507463,0.619048,0.578947,f1,NK T cell,0.578947,0.578947
88,0.62963,0.481481,0.407407,recall,NK T cell,0.407407,0.407407
89,0.425,0.866667,1.0,precision,NK T cell,1.0,1.0
90,0.95891,0.967853,0.967035,f1,Classical monocyte,0.967278,0.966722
91,0.982301,0.9792,0.977384,recall,Classical monocyte,0.977082,0.975569
92,0.936608,0.956766,0.956902,precision,Classical monocyte,0.957669,0.958033
93,0.981812,0.985578,0.986985,f1,Classical monocyte,0.987449,0.986949
94,0.99414,0.988878,0.988519,recall,Classical monocyte,0.987922,0.985769
95,0.969785,0.9823,0.985455,precision,Classical monocyte,0.986977,0.988132
96,0.966303,0.980968,0.981566,f1,Classical monocyte,0.977963,0.97775
97,0.981201,0.975926,0.975791,recall,Classical monocyte,0.966324,0.965783
98,0.95185,0.986062,0.987409,precision,Classical monocyte,0.989886,0.990018
99,0.978674,0.984918,0.984906,f1,Classical monocyte,0.984425,0.983645
100,0.985796,0.981218,0.980397,recall,Classical monocyte,0.97934,0.977814
101,0.971653,0.988646,0.989456,precision,Classical monocyte,0.989562,0.989546
102,0.965057,0.976335,0.976323,f1,Classical monocyte,0.974441,0.974496
103,0.973179,0.963741,0.963269,recall,Classical monocyte,0.959572,0.958707
104,0.95707,0.989262,0.989737,precision,Classical monocyte,0.989778,0.990815
105,0.450363,0.535316,0.558559,f1,Intermediate monocyte,0.554901,0.532891
106,0.575088,0.508834,0.492933,recall,Intermediate monocyte,0.457597,0.425795
107,0.370097,0.564706,0.644342,precision,Intermediate monocyte,0.704762,0.711965
108,0.135718,0.288163,0.579065,f1,Intermediate monocyte,0.622114,0.61596
109,0.658491,0.507547,0.490566,recall,Intermediate monocyte,0.483019,0.466038
110,0.075656,0.201197,0.706522,precision,Intermediate monocyte,0.87372,0.908088
111,0.073887,0.337884,0.491803,f1,Intermediate monocyte,0.478386,0.461988
112,0.833333,0.402439,0.365854,recall,Intermediate monocyte,0.337398,0.321138
113,0.038657,0.291176,0.75,precision,Intermediate monocyte,0.821782,0.822917
114,0.312057,0.373533,0.567288,f1,Intermediate monocyte,0.590909,0.586854
115,0.67433,0.670498,0.524904,recall,Intermediate monocyte,0.498084,0.478927
116,0.202999,0.258876,0.617117,precision,Intermediate monocyte,0.726257,0.757576
117,0.286756,0.475162,0.473282,f1,Intermediate monocyte,0.471239,0.470457
118,0.36646,0.341615,0.336957,recall,Intermediate monocyte,0.330745,0.32764
119,0.235529,0.780142,0.794872,precision,Intermediate monocyte,0.819231,0.833992
120,0.328532,0.568591,0.593892,f1,Non-classical monocyte,0.591531,0.590998
121,0.460577,0.440385,0.439423,recall,Non-classical monocyte,0.436538,0.435577
122,0.25533,0.802102,0.915832,precision,Non-classical monocyte,0.917172,0.918864
123,0.583051,0.807428,0.810249,f1,Non-classical monocyte,0.794242,0.78685
124,0.711584,0.693853,0.691489,recall,Non-classical monocyte,0.66844,0.657801
125,0.493847,0.965461,0.978261,precision,Non-classical monocyte,0.978374,0.978892
126,0.390728,0.625167,0.625503,f1,Non-classical monocyte,0.615281,0.61194
127,0.462745,0.457843,0.456863,recall,Non-classical monocyte,0.446078,0.442157
128,0.338109,0.985232,0.991489,precision,Non-classical monocyte,0.991285,0.993392
129,0.466968,0.56582,0.556461,f1,Non-classical monocyte,0.548652,0.541814
130,0.417476,0.39644,0.386731,recall,Non-classical monocyte,0.378641,0.372168
131,0.529774,0.987903,0.991701,precision,Non-classical monocyte,0.995745,0.995671
132,0.899895,0.948617,0.944843,f1,Non-classical monocyte,0.94533,0.942612
133,0.939839,0.924431,0.917461,recall,Non-classical monocyte,0.913426,0.906823
134,0.863208,0.974101,0.97391,precision,Non-classical monocyte,0.979544,0.981342
135,0.33141,0.521739,0.516043,f1,cDC,0.514056,0.508065
136,0.362162,0.356757,0.347748,recall,cDC,0.345946,0.340541
137,0.305471,0.970588,1.0,precision,cDC,1.0,1.0
138,0.208469,0.580153,0.597297,f1,cDC,0.585499,0.584362
139,0.496124,0.44186,0.428295,recall,cDC,0.414729,0.412791
140,0.131959,0.844444,0.986607,precision,cDC,0.995349,1.0
141,0.269154,0.404894,0.490832,f1,cDC,0.496413,0.487734
142,0.385496,0.347328,0.332061,recall,cDC,0.330153,0.322519
143,0.206755,0.485333,0.940541,precision,cDC,1.0,1.0
144,0.30528,0.595657,0.624303,f1,cDC,0.621229,0.618141
145,0.473258,0.466775,0.453809,recall,cDC,0.450567,0.447326
146,0.225309,0.822857,1.0,precision,cDC,1.0,1.0
147,0.410241,0.654339,0.65593,f1,cDC,0.654563,0.650246
148,0.511372,0.506236,0.49303,recall,cDC,0.489362,0.484226
149,0.342506,0.924933,0.979592,precision,cDC,0.988148,0.989505
150,0.971014,0.955224,0.955224,f1,pDC,0.955224,0.955224
151,0.957143,0.914286,0.914286,recall,pDC,0.914286,0.914286
152,0.985294,1.0,1.0,precision,pDC,1.0,1.0
153,0.718519,0.719101,0.719101,f1,pDC,0.719101,0.719101
154,0.567251,0.561404,0.561404,recall,pDC,0.561404,0.561404
155,0.979798,1.0,1.0,precision,pDC,1.0,1.0
156,0.893827,0.916031,0.916031,f1,pDC,0.916031,0.916031
157,0.849765,0.84507,0.84507,recall,pDC,0.84507,0.84507
158,0.942708,1.0,1.0,precision,pDC,1.0,1.0
159,0.934866,0.97561,0.97541,f1,pDC,0.962343,0.949153
160,0.983871,0.967742,0.959677,recall,pDC,0.927419,0.903226
161,0.890511,0.983607,0.991667,precision,pDC,1.0,1.0
162,0.939597,0.957746,0.957746,f1,pDC,0.964029,0.956522
163,0.972222,0.944444,0.944444,recall,pDC,0.930556,0.916667
164,0.909091,0.971429,0.971429,precision,pDC,1.0,1.0
165,0.375,0.64,0.64,f1,pre-DC,0.64,0.64
166,0.529412,0.470588,0.470588,recall,pre-DC,0.470588,0.470588
167,0.290323,1.0,1.0,precision,pre-DC,1.0,1.0
168,0.995261,0.994069,0.994069,f1,pre-DC,0.994069,0.994069
169,0.990566,0.988208,0.988208,recall,pre-DC,0.988208,0.988208
170,1.0,1.0,1.0,precision,pre-DC,1.0,1.0
171,0.98708,0.984456,0.984456,f1,pre-DC,0.984456,0.984456
172,0.97449,0.969388,0.969388,recall,pre-DC,0.969388,0.969388
173,1.0,1.0,1.0,precision,pre-DC,1.0,1.0
174,0.995008,0.996667,0.994992,f1,pre-DC,0.993311,0.989933
175,0.996667,0.996667,0.993333,recall,pre-DC,0.99,0.983333
176,0.993355,0.996667,0.996656,precision,pre-DC,0.996644,0.996622
177,0.995708,0.991379,0.991379,f1,pre-DC,0.991379,0.991379
178,0.991453,0.982906,0.982906,recall,pre-DC,0.982906,0.982906
179,1.0,1.0,1.0,precision,pre-DC,1.0,1.0
